,0,1
65,5,I need more people to answer these 4 quick questions please. It doesn't take long and you can be anonymous. I am doing a research paper for my English class and this is the last week I have before I absolutely need the results. Thanks to those who have helped me so far. I greatly appreciate it!
66,5,A few more from this beautiful couples wedding! Follow K Styles Photography for more.
67,5,This is my punishment for waiting til the last minute to finish this week's homework. My computer is running super slow and my wi-fi doesn't want to connect to the network. Ugh...
68,5,Maybe eating almost a whole thing of hummus wasn't a good idea.... 
69,5,I'm doing this poll for a research paper for my English class. Please help me out by answering just 4 questions. It won't take long and you can be anonymous.
70,5,Took me a little bit to get this posted. Logan partially got himself dressed the day we did these and it altogether just turned out so cute!!
71,5,OH I am so buying this!!!!! I love them both and it'll be so good!!!!
72,5,I may try this recipe.... I don't really love peanut butter cookies but this is so easy and quick it may be what this pregnant lady needs
73,6,40 (ish) weeks
74,6,Created with celebratepride
75,6,HA! The Examiner says I was right.
76,6,"Guys, next Monday is my BIRTHDAY! And I want you all to come celebrate with me at this fundraiser event at Dickey's BBQ. Please come so I can see you, hug you, and take your money to feed families in need in our community!"
77,6,"Hahaha! Ah, kids."
78,6,"This made me cry and feel ill. I've been among these kids with ""behavioral problems"" and this is NOT the way to deal with them. I understand that the child and the children around him must be kept safe, but some of these tactics are downright terrifying. 
Alex & Sariah, what do you think?"
79,6,Spendlove Studios is AMAZING!!
80,6,Sometimes our dog is a rabbit.
81,6,Elbow dimples make me melt.
82,6,Go and like Wood Creations and enter the giveaway! I love this place!
83,6,"This is a worthy cause that hits too close to home for most of us. Please share and donate, if you can."
84,6,Friends looking for work in St. George: Chase bank is hiring a teller for 30 hours per week - includes benefits and paid vacation. Message me and I'll give you the info (and put a good word in for you with the manager!)
85,6,My laptop fits perfectly in the diaper bag. This work-from-home gig was meant to be.
86,6,"Guys, Piccolo Mondo has hands-down the best Italian food I've ever had. And Chef Alfredo kissed my hand tonight and I must have a little crush on him because I blushed and giggled like a little girl."
87,6,Come check out Tuacahn High School's Renaissance Feast this weekend. I am really looking forward to it - we had a blast last year. We are going on Thursday night if anyone wants to come with us.
88,6,"This is a super fun event at Tuacahn, happening this week. We went last year and can't wait to go again."
89,6,Where is the best place in St. George to buy fresh seafood?
90,6,Hehehe! This silly song makes me happy.
91,6,"Second tooth came through without a fuss... I'm planning on the rest of teething, potty training and adolescence to be this easy as well."
92,6,"Those of you who know me well may be shocked by this, but this weekend I purchased a pair of skinny jeans. And I love them."
93,6,"Guys, yesterday my baby rolled over, cut his first tooth and slept for 7 hours straight. He says tomorrow he wants to take the car on his date."
94,11,It was a great birthday today! Thanks everyone for all the birthday wishes. And thanks to my wonderful wife who went out of her way to spoil me today! I love ya babe!
95,11,Vegas here I come!
96,11,I love it when I get a bunch of texts all at once that were sent yesterday . . .
97,11,It's better to have hope in your soul than soap in your hole! lol
98,11,Just got done doing Yoga for my first time. It was intense!
99,11,So excited for Blue Man Group tonight!
100,11,My most recent photo
101,11,Just passed my faa instrument rating knowledge test!!!
102,11,So sick of studying!!!
103,11,I logged 11 hours of flight time yesterday!!!
104,11,Thanks for all the birthday wishes! You guys are awesome.
105,11,I Love Disneyland!!!
106,11,GOAAAAAAAAAAAAALLLLLLL!
107,11,hates when it's too windy to go fly :(
108,11,Flying my new plane home this weekend! Yay!
109,12,I vote a girls night to a NKOTB concert! Who s in!?
110,12,Oh my gosh this is me right now...
111,12,"I mean, the nerve of some people ??"
112,12,This app is unique. It lets you write directly on your camera!
113,12,Love this. It's a great story of keeping Christ and Santa in Christmas together.
114,12,"This is awesome, what an amazing experience and way to show the people of the this world what missionary work is all about."
115,12,It's not a privilege it's a right!
116,12,"Watching the Bachelor every time Sean is kissing one of the girls Cooper just says ""Ewww, that's soo gross..."" Haha. He's right though."
117,12,I wanna keep this for future reference.
118,12,Is anyone else grossed out by the go daddy commercial? Sick nast!!!!
119,12,Personal experience!
120,12,"Just wanted to apologize to my Pinterest followers, I was organizing my boards. So sorry for the multiple pins :)"
121,12,Well I guess I don't have respect for all these people who passed. I HATE these stupid like pictures...
122,12,I miss so many of these things
123,12,What!!!! Yes!!!! I'm so happy to live here
124,12,Just no... Super annoying
125,12,Just in case the wheelchair picture wasn't motivating enough. Geez Louis!
126,12,Look at all those guns.
127,12,So with Obama's Inauguration Day coming up should all of the security he have not have guns?
128,12,Any of you that live in the snow. I wouldn't have thought of this when I was up there
129,12,It's been a magical day! Merry Christmas everyone!! Love my family and friends and my Heavenly Father! So many things to be grateful for!
130,13,I can't wait to make this pretty little lady my wife! I love you!
131,13,I love this girl she is my whole world
132,13,Anyone in mesquite down to hangout!? Where's everyone at?
133,13,See I told you that you do this here is the proof Ashley Gronowski ;)
134,13,"I am definitely missing my girl right now And I gotta go another work week w/out her, this sucks ballskis"
135,13,Damn strait! Too many cry babies blaming their problems on other ppl. Time to do something with your life's that you can take credit for
136,13,Guess I should just keep my mouth shut like usually
137,13,I know someone would love to have calis last pup! need to find him a good home :)
138,13,Iam me I'll always be this way. Sorry I'm not up to everybody's standards. But Iam happy w who Iam and I'll die this way. Dueces!
139,13,Don't drive to cedar roads are so fucking bad..
140,13,Finally some cowboys haters! Where y'all been?
141,13,Prescott az cops suck!!!
142,13,Havasu is so damn hot!! ??
143,13,Fuhk whoever tryd to steal my truck and fuhk up the ignition and radio!! Amateur pos hope Carma fuhks you real hard!
144,13,i am almost 30 and this is the first time I ever voted! Gotta keep hillary out of the white house!! #trump
145,13,"Work,eat,shower,sleep...repeat"
146,13,I miss my friends and family so bad today...
147,13,Working Sundays are no bueno
148,13,I always give it my all even if its not enough..
149,13,"Fuck this wind, fuck Mondays and fuck you!!"
150,13,Can't make everyone happy..
151,14,This is why being a cowboys fan has been painful for awhile. Real classy.
152,14,Go Falcons!
153,14,ND is playing awful. Depressing.
154,14,Loving the rain and snow in St. George!
155,14,Haddie tree'd a coon.
156,14,Aggies! Thank you!
157,14,True Lakers hater here. Go Jazz!
158,14,"Excited for trick-or-treaters and most importantly, the Jazz game."
159,14,Riley Nelson is AWFUL.
160,15,Work ends and work starts.
161,15,Jenni help me do this!
162,15,3 generations
163,15,Saturday's walkabout!
164,15,Does anyone know a easy way to watch Game of Thrones ? hbo go i don't have a it.
165,15,Honey you once asked me if you could just push or kick a down power line. This shows how much power is above you and around you.
166,15,Does any know of a vizsla dog breeder or puppies for sale? in MN
167,15,Watch the sun set on freedom.
168,15,lll begin training this april and my cousin has agreed to join me! Let me know if you want to join!
169,15,I love my wife!!!
170,15,Half way threw the day and my wife and son are alive!
171,15,Wife has a fever and now she is asking me to stay home to take care of the baby..... if i said i don't know what to do? That would be giving me to much credit.
172,15,How did i get so lucky!
173,15,Still in labor everything is looking good!! 
174,15,"I'm so happy I'm alive! Wait that's every day that I'm thankful to be alive. I'm thankful for my wife my baby and the job that i have if your worried about anything put that date for tomorrow because death waits for us all, find christ and have no worries about death."
175,15,"Today at Walmart, I overheard a customer and a Walmart employee talking about how a lady could not buy a rifle because she couldn't get a background check because the phone line/system is completely backed up; Due to the horrible events of Friday. This is the first time I've ever heard of this happening. So many people are applying for first time gun ownership because of fear of losing the right to buy a gun."
176,15,"We are taking bets on gender, weight and length of Baby H"" :)!!!!"
177,15,Going to be a father thought #1371#(Teach my son or daughter to shoot and to start a campfire by the age of seven)
178,15,Ok i got a note from my wife saying its 37 weeks so it could be go time at any moment! So i installed the car seat and got the go bag all packed up!
179,15,My beautiful wife and I.
180,15,I love my wife so much. And she does the dishes too wow I'm so lucky!!!!
181,18,Happy Birthday to my beautiful wife Jess! ?? ?? 29 years young ??
182,18,Can't believe I'm already 25!! Time flies :) thanks for the happy birthday's!!
183,18,"Thanks for the B Day wishes! I had an awesome day! Started out at 5 in the morning, worked my butt off in the hot sun for 11 hours. Got home and my wife surprised me with a cake, my favorite avocado dip, and a massage over at massage envy! :)"
184,18,My two favorite nephews :)
185,18,"Well...... I NOW HAVE A FACEBOOK!!! My Wife thought that I should be part of the ""real"" world, so she took the liberty of creating an account for me :)
Now this is living:)"
186,18,ROFL!!!! For all you Apple lovers!!
187,20,Sunday hangout
188,20,We caught a dove in Grandma's Chicken Coop! it made this little guy's day??
189,20,Haha so fun! If your a harry potter fan!)
190,20,Carving pumpkins !)
191,20,Drink date;)
192,20,"Fall break ,
up
In pine Valley"
193,20,if you suffer from migraine headaches try this stuff out!
194,20,thinks its funny when people share their lives with facebook!)
195,20,had a good birthday! Half way to 30!)
196,20,i have a bad headache! i hate them!
197,20,Thank you so much to the Andelins we had a blast at your party!)
198,20,Is glad that facebook is around when i cant sleep
199,20,dont click on find out who visits Ur profile it will hack Ur computer
200,23,I'm 31 everyone! First of all thanks to my heavenly father for another year. Also thanks for the last 11 years for blessing me with my boys. Thanks for my family and friends. Could not have asked for anything else??
201,23,Baby wanted his oreo teeth to come out in the pic!
202,23,My lil brother! Carlos Sanchez
203,23,"we miss you alot, hope you're having a wonderful thanksgiving with your family :)"
204,24,"A family that screams at refs together, stays together! Such a fun weekend celebrating Camila s birthday!"
205,24,You know what this means! Our annual free hot chocolate and cookie stand! Stop by and partake! We are on Crimson Ridge Dr out in Little Valley! ??
206,24,Go snag a complimentary sign all y all!
207,24,Thank you @kassidybakerphotography for making Family Pictures an enjoyable experience (usually not the words one would use for family pics haha) And for providing us with these beautiful moments in time! ?? I love everything about these!?? 
208,24,These extensions are amazing! My cousin has done an amazing job creating a comfortable stylish design! Check them out!!
209,24,Brother and sister duo ?? cutest team around! Neighborhood talent show was a blast! 
210,24,My brother is a pretty amazing dad ?? I am blessed to even know people like Nick and Joy. But won the jackpot to be part of the same family! 
211,24,Our hearts are full of gratitude ??
212,24,"This happens to be my amazing niece!!! They had this surgery planned out for further down the road, but life threw a curve ball and they just found out they needed to move it to this Wednesday! 
I 100% believe in the power of prayer. I have felt it during the deepest struggles I ve had to endure. I know that sweet Nick and Joy (and my whole family for that matter??) would so appreciate any extra prayers that could be said for Emery and their family! Even if it s a 5 second prayer ?? it s totally worth it!"
213,24,"If anyone has tried to contact me in the last month, I am here to say that I am not a jerk and don t hate you! I promise I didn t intentionally ignore you ?? I successfully damaged my phone beyond repair in January and it has taken a few weeks to solidify the diagnosis ?? 
My phone is back now! So try again haha because I won t be receiving any previous messages sent to me. If I don t answer this go around, then it s probably because I m purposely ignoring you ??"
214,24,I sure like my friends. They are keepers for sure!
215,24,thanks everyone for the birthday wishes! They came true! I had a fantastic birthday filled with family and lots of fun!
216,24,thanks to my awesome husband for the great birthday gift! Love ya tj!
217,29,Happy Birthday Landyn. You are missed! 
218,29,1 year ago the girls ate lunch with Mr Clean!
219,29,Ally took the pic and i love it lol. I also love this woman. She is my best friend and so strong. She is my rock and we seem to balance each other pretty well. I love listening to her laugh even if its at my dry sense of humor . Had fun this weekend on our 4th easter celebrated together. Love you Brittany Emery
220,29,My love bug still sleeps so weird lol
221,29,When he is happy he is really happy but when he is mad he is MAAAAD! LOL
222,29,Lastnight i had the most beautiful young blonde walk in the front door with a new glow about her and may i just say.....damn that updo is ridiculous! Love you
223,29,He was so small and precious
224,29,"Ive been trying to get my records removed from The Mormon or LDS Church,or whatever they call themselves now,for a while. Funny to me that it takes LONGER to be REMOVED from the church then to get excommunicated or to Take all the discussions to get brain washed and baptized! Ive been quiet too long and now that i have kids im not going to let them get BRAINWASHED by the church like i was!"
225,29,750 friends down to 300! feeling great
226,29,I knew when i met brittany she came with "baggage" but now i have some of my own. ??
227,29,Every year we asked our mom what she wanted for her birthday and she would say "i want a clean house and happy kids". Well now that im older i understand it and i had just that for my birthday! It was so awesome spending it with my family. Thanks for everything Brittany Emery thank you all for the birthday wishes!
228,29,Cousins night coloring and playdough. 
229,29,Little dude is already a pussy magnet lol 
230,29,If Monday has you knocked down then watch this and get back up again! 
231,29,Our little drummer boy.
232,30,"i love my familise, i love my kids."
233,31,"I don t have a lot of words for the past 36 hours... My baby was life flighted to Primary Children s with RSV. Things are looking better right now. Thank you to all those who have reached out and are still reaching out! We have received so many tender mercies and are grateful for each and every one of you! We couldn t be doing this without your prayers, support, and encouragement!"
234,32,"i love my familise, i love my kids."
235,33,"United Hairlines is looking for a Full time nail tech, we also have a room available for aesthetics, massage, eyelashes, or permanent makeup. If you or anyone you know is interested please contact me. ??"
236,33,Cutest dang thing ever! Maybe Luke Bryan isn't so bad ;)
237,33,Thanks to Amy McAllister I am now addicted to rice cakes!! Haha
238,33,"""I need a drink...I'm going to throw up...I forgot to take my cough medicine...I'm going to throw up cause my throat hurts.. I'm thirsty.. My hairs too wet... I need my lamp on... My belly hurts"" My child... What will she come up with next? Just go to sleep already! Haha"
239,33,I love Miranda Lambert!! She looks amazing!!
240,33,Tavia says to me... "My farckles are hurting my face" I say "what's a farckle?" She means freckles! Haha love the things she comes up with!!
241,33,haha if were lucky ;)
242,33,I am going to be needing a new babysitter in the somewhat near future.... It's pretty much part time... So if anyone knows anyone awesome who could handle Miss Tavia let me know please... Thank you!
243,33,Tavia says " I want to go to Erindale to visit my sisters" okaayy I'll get right on that! Haha
244,33,Love my Gramps!
245,33,My bffs Vegas wedding
246,33,Listening to Destinys Child reminiscing on my teenage years with my BFF... Who got married last night! It's so crazy how old were getting!!! Congrats BjandAsh Pugh... I am so happy for you two!! Love you guys! 
247,33,"I have heard all the excuses in the world why Tavia can't go to sleep tonight... Her ear hurts, her hairs in her face, she's to grumpy, she's hungry, she's thirsty, I'm to mean, she will be to itchy if she lays down, she's cold... Haha what will she think of next?"
248,33,The Tim McGraw & Faith Hill concert was so amazing!! I love them! Tim gave away his guitar to a 10 year old kid in the audience it was so sweet... And we also got lucky and got great seats..
249,33,Does anyone know anywhere that's hiring? :)
250,33,I hate car problems!!!!
251,33,LOVE IT!! Words to live by!!
252,33,I love this! You really never know what people are going through in their life... We should all try and be a little more gentle!
253,34,I don't think I'm that old yet...
254,34,Bad chicken!??
255,34,??that sounds about right ??
256,34,See kids this is why we don't do drugs...
257,34,Really? Has it gotten that bad?
258,38,Love these cute kids!
259,38,I have all this stuff. We would just need a muffin and bright pink frosting and plus I did some with pink balloons on a chair
260,38,She sure looks like her mother!!
261,39,I won the SINGLE BALL CUP on Real Basketball !
262,40,Sign up for dollar shave club I love these razors and I love getting them in the mail as often as I want!
263,40,Cute little girl
264,40,This is awesome
265,40,Something the new guy gets designated to do
266,40,Boom just won these for tonight
267,40,This too funny haha a mans just gotta know when to walk away haha
268,40,You know you had a long day when you are watching some stuff in bed with you kid and all of the sudden your wife is waking you up telling you to get out of his bed!
269,40,K 49ers just need to forfeit or something this regular season win is not worth all of these injuries!
270,40,"There is a internal struggle that occurs every time I step foot into a movie theater! Will I be able to hold my pee until the end of the movie or not? I am proud to say I conquered this battle during Thor and it was worth every moment of pain, uncertainty, and nervousness!"
271,40,So true screw them till at least march!
272,40,how about them niners baby? freaking awesome how awesome would it be if they beat the lions next week
273,40,suu was on espn's top ten plays this morning! ...... it wasn't really for them though it was for south dakots great catch against them..... but still!
274,40,hahaha wear it yankee fans! I dont even care that neither of my teams made it! bottom line is it's a good year when the yanks lose!
275,40,hey remember that time that my two favorite teams in baseball are the red sox and braves.......enough said hoping and praying that tomorow works out for both of them!
276,40,hahaha take that tom brady not so record breaking today are ya hahaha! ps did you see calvin johnsons catch holy cow! I love football!
277,40,by the way that lightning storm last night was insane! it was by far the most lightning I have seen in my life it signed like it went off every ten sessions for four hours!
278,40,I swear if the braves choke and dont make the playoffs I'm going to freak
279,40,this weekend while playing softball I sat on a fence...... I also broke that fence and fell into stickers!
280,40,wow that ump was terrible on both sides for the sox yanks game today
281,40,oh football how I have missed you
282,40,"while laying on the floor with my don just now, he is sitting on my chest playing, he then leans forward and pukes into my mouth! blah that was gross!"
283,42,Till death do us part.
284,42,"He's got that look in his eye , ""what can do to piss Bryan off today """
285,45,happy spring!??
286,45,Looking forward to thanksgiving! :-)
287,45,I sure love my three little bears haha boys ;)
288,45,throwback from when jerrin was little :-)
289,45,Happy Sunday! :-) and Memorial day weekend!
290,47," agree, if things like that don't work like they 'claim', than people wouldn't have been using them for hundreds of years. I just skimmed through that part and didn't put a lot of stock in it. I found it more entertaining than educational."
291,49, Cute lil fam¦?¦?¦?
292,49,So i got my palm read this weekend. according to my palm im very passionate i get hurt easy im going to have a strong healthy life im ganna have lots of money and im ganna have 2 kids:)
293,49,:) im excited for the future
294,50,Having a blast at the 4 wides
295,50,Smoked or deep fried? Yes please
296,50,"This is pretty awesome, I hope you enjoy it as much as I did"
297,50,A local seal came to say hi whole we were snorkeling
298,50,Snorkeling with some giant sea turtles in the Galapagos
299,50,"Although I'm a little sad to see the separation, I can't say that I'm surprised."
300,50,It's boating weather!
301,50,Spoiled dog
302,50,The backyard is smelling pretty delicious!
303,50,Having a good time at the monster truck show
304,50,"Atlas gets a bath then Kevin and Jandee walk into the bathroom. Atlas runs to me and says, ""Jandee is giving Kevin a bath too!'"
305,51,My girlfriend Kristin Swain spoils me. Best Christmas present ever! 
306,51,Please pray for the Stapley family. Family friend and neighbors just 2 houses from us. Father to 6 girls and a wife. Please be safe and wear a beacon as it may save your life or those that get caught.
307,51,Anyone have any information on this plane crash? I can t find any info anywhere. Looks like someone collected all the belongings and pieces of the plane. Guessing it happened within the last few days. It s on Guardsman Pass in between Park City and Deer Valley Resorts.
308,51,Lost a Legend but his Legacy will live on!
309,51,Some people say you re not allowed to hang off the cruise ship. I beg to differ
310,51,Ever felt like you had a rough day? It can t be as bad as this little guy
311,51,Love doing service with a good crew
312,51,Just happened in Utah. So glad they had a Vivint Doorbell Camera to capture what happened. Love being able to help secure families with security and cameras ??
313,51,Use the left lane for passing not going slow. Germany does a great job of this. Must watch.
314,51,Happy Birthday to my little brother Kenneth Stocks! Proud of him flying out to Maryland yesterday to start his internship!
315,51,Thanks to everyone that wished me a Happy Birthday! ??
316,51,Happy Mother s Day to the wonderful Mother s that are in my life! All 4 Mother s here are so caring and kind. They do so much! Love you all and Happy Mother s Day to all the Mothers out there!
317,51,If you have met my Dad I know he s made you laugh and smile. He s so caring and always putting others first. He s taught me a great deal of hard work and getting things done when they need to be. So grateful to call him my Dad ?? Have a Happy Birthday today! Love you! ????????
318,51,Yesterday was Mothers Day and I want to wish My Mom Alyson Stocks a Happy late Mother's Day for how wonderful she is and the other wonderful mothers in my life. Also a Happy Birthday to Jennika Smith and my Grandma Joyce Madsen today with the same birthday!!
319,51,"Today is my Dad's Brian Stocks Birthday! He has taught me a lot in life about hard work, being serious, making goals, how to laugh and make me smile. I still can't tell jokes like he can. He loves plays and grew a beard and then shaved it to play Colonel Buffalo Bill in Annie Get Your Gun down at Brigham's Playhouse. If you haven't seen it, go do so it's amazing. Love this old guy ?? Happy Birthday!! ??????????"
320,51,"Happy Birthday to my amazing Mother Alyson Stocks . She's not only kind, caring and loving but she's the fun Mom that likes to go hiking, skiing and try new things. Love ya Mom!"
321,52,This girl did such an awesome job at her cheer competition. So proud of her! ?????+?
322,52,"My sister @mir.i.am7 sent me this pic today of my nephew @peytonholmes24 basketball shoes. Peyton is like my little brother and I remember watching him play on a basketball team when he was 5 and making his first basket. Miriam and I looked at each other and started crying. ??????Never have I seen anyone work so hard towards something and be so focused. He is someone I admired and love dearly along with the other Holmes kids @lincoln.holmes and @presley100holmes. The video is from a couple weeks ago. Double over time, tied game with 2 seconds left. He is a sophomore playing on varsity. ?????? "
323,52,Baby girl is 3!!! ????????
324,52,This girl thinks she s so sneaky! She did this over and over and then would run to me and take a selfie. I love her! 
325,52,It s been WAY too long since I ve taken a class or even danced! It felt so good to dance and be with my main girls!
326,52,This girl kills me! She s getting so big! Can t believe she s all mine! 
327,52,Had the best birthday with some of my fav people! 29 is gonna be a great year! 
328,52,In honor of everyone else starting school today we will just keep pretending for a little longer. Those glasses tho! ????
329,52,My lil mini me. ??????Even though she looks just like dad she wants to be just like mom!
330,52,"Happy Fathers Day to this amazing guy! I can t believe how lucky Tru and I are to have such an amazing, funny, hard working, loving and supportive dad/husband! I love you Nolan! Happy Fathers Day! ??????"
331,52,It was this special guys birthday yesterday so of course we celebrated by going to the Backstreet Boys concert! I love this man so much! He is the best husband and an even better dad!!! Happy Birthday Nolan! Tru and I Love you!
332,52,We had a great Christmas with my family! Tru loves being with her cousins(especially Lincoln) and seeing her favorite aunts and uncles. And of course Nana and grandpa! Last year it was just the three of us in Houston by ourselves which wasn t horrible by any means but it definitely is nice to be close to family again!
333,52,Happy 1 year Anniversary to my amazing husband Who Spoils me rotten! I Love you Nolan Boyd:) Have a safe trip to illinois for two weeks. I'll be missing you like crazy! Love you!
334,53,Always fun to wake up to see Ty destroy his own bed!
335,53,Headed back home to MIA! Nice little weekend vaca with fam was awesome!
336,53,There's more snow and colder in utah in april than it was in december!
337,53,Time to shake things up!
338,53,Fresh snow!
339,53,Spending some quality time with loved ones!
340,53,Wow! Just when you think things are going good life throws a curve ball at you!
341,53,Life is too precious to sweat the small things. Take one day at a time.
342,53,Thank you everyone for the birthday wishes! Appreciated it very much!
343,53,"It hurts me deeply to say Lilly, my best friend and companion dog, tragically passed away last night from bloat. She will always be in my heart forever!"
344,54,this kinda reminds me of stories from your code 10s.
345,54,This is currently me
346,54,Loving it! I get to enjoy summer too. My last day at my 2nd job is the 24th. Bring on that summer fun!
347,54,Why I had to leave
348,54,Well next step has been taken. It's been since summer and my eczema flare up still won't go away. Got a referral from my doctor. Let's hope the next doc can help me. It's been so frustrating. I wanna be ready for bikini season.
349,54,Every time I see this it breaks my heart. I wish people were as protecting of those they are close to.
350,54,I look the same haha. Well minus the lip ring.
351,54,Is it Friday try? Ready for ink therapy.
